#{"t_start": 1779788540.488714, "env_id": "Blackjack4game-v1"}
r,l,t
-0.729,2,1.441982
0.0,5,1.447189
0.0,2,1.449301
0.0,4,1.453322
-0.326767,3,1.456593
0.0,3,1.459307
0.0,3,1.462319
0.0,6,1.467902
0.0,3,1.470953
0.59389,4,1.474528
0.0,4,1.479481
0.0,3,1.482798
0.0,3,1.486078
-0.030506,4,1.491087
0.0,3,1.494206
-1.0,3,1.497625
0.0,4,1.50216
0.0,5,1.507917
0.0,3,1.512212
0.0,4,1.517399
-0.328142,2,1.519736
-0.796161,2,1.521507
-0.228133,2,1.523257
0.0,5,1.528102
-1.0,4,1.534672
-0.329012,3,1.539493
0.0,3,1.544035
0.0,4,1.549001
0.0,2,1.55073
1.0,3,1.553819
0.0,3,1.556942
0.0,4,1.560677
0.0,4,1.564085
0.0,5,1.568232
-0.511255,3,1.570767
1.257841,2,1.572445
0.648854,3,1.574977
0.0,4,1.57843
0.883584,3,1.581101
0.0,4,1.584724
-1.0,4,1.588318
-0.098925,2,1.590331
-0.008122,2,1.592308
-0.183375,4,1.595957
-2.0,2,1.597845
0.0,5,1.602169
-1.0,3,1.605153
0.0,2,1.606895
0.0,4,1.610561
0.0,4,1.613885
0.486272,4,1.617504
0.0,3,1.619981
-0.806569,3,1.622587
0.0,4,1.626084
-1.0,3,1.628793
0.0,5,1.633438
0.0,5,1.638336
0.0,3,1.641226
-0.875456,2,1.643102
0.0,4,1.646574
0.165148,2,1.648284
0.0,2,1.650184
0.0,4,1.654319
-0.464459,3,1.657365
0.0,2,1.659391
0.0,4,1.663511
0.0,2,1.665494
-0.486981,2,1.667362
0.538183,5,1.672596
-0.228538,4,1.676372
0.0,5,1.680768
0.0,2,1.682479
-0.297774,5,1.686694
0.0,3,1.68925
0.0,2,1.690979
0.0,2,1.692661
0.0,3,1.695155
1.5,2,1.696823
0.0,5,1.7011
0.0,3,1.703647
1.0,3,1.706545
1.0,3,1.709227
0.0,3,1.712019
0.0,4,1.715568
-1.0,3,1.718168
-0.402308,2,1.720171
0.0,4,1.723541
0.0,3,1.726234
-0.21097,2,1.72801
-0.107274,3,1.730688
0.0,4,1.735502
-0.748829,4,1.740111
-1.0,3,1.743262
0.0,3,1.745927
1.202941,2,1.747644
0.0,4,1.750977
-0.195505,3,1.753477
0.0,3,1.756293
0.0,4,1.759755
0.0,3,1.762376
0.0,2,1.764127
-0.061589,4,1.76763
-0.832704,4,1.77139
-0.793809,4,1.774894
0.0,3,1.77772
0.0,3,1.780332
-1.0,3,1.783185
0.256595,3,1.785856
-0.027455,3,1.788701
0.0,2,1.790508
0.0,4,1.794013
0.287372,3,1.796721
0.0,3,1.799252
-0.803046,2,1.800926
0.0,4,1.804578
0.0,3,1.807034
0.0,4,1.810726
-1.0,4,1.814456
-0.753061,3,1.817263
0.0,2,1.818955
-0.265457,2,1.82061
0.320457,2,1.822246
0.0,4,1.825683
0.0,4,1.829082
-0.096398,5,1.833335
-0.510335,4,1.836738
0.0,3,1.839475
0.0,3,1.842041
0.0,5,1.846788
0.0,3,1.849576
