#{"t_start": 1779972541.169826, "env_id": "Blackjack4game-v1"}
r,l,t
-1.0,3,1.643154
0.0,4,1.647895
0.0,2,1.650778
-1.0,3,1.654381
1.0,5,1.66016
0.0,2,1.662351
0.0,3,1.666336
-0.323249,2,1.668511
0.0,4,1.673264
0.0,3,1.676854
0.0,3,1.681473
0.0,3,1.685329
0.0,5,1.690722
0.732077,2,1.694079
0.0,3,1.698255
-1.0,3,1.701771
-0.988416,3,1.705364
0.0,4,1.708952
0.0,3,1.711451
-0.267806,2,1.713505
-0.732622,2,1.71552
-0.226296,4,1.720061
-0.088888,3,1.723159
1.5,2,1.725657
0.0,2,1.728062
0.506569,2,1.730196
0.0,4,1.734603
0.0,3,1.737593
0.0,2,1.740213
-0.421145,4,1.745065
0.0,3,1.749891
0.0,4,1.756266
0.0,3,1.76156
1.316607,2,1.765199
0.0,3,1.77001
0.0,4,1.776798
0.829546,3,1.781414
-0.323468,4,1.787324
0.0,4,1.793409
0.0,2,1.796486
-0.43429,3,1.801145
-1.0,4,1.806897
0.050953,2,1.810362
0.0,2,1.813704
-0.159126,5,1.82206
-0.639629,2,1.825572
0.0,3,1.830241
0.0,3,1.833666
-0.189684,3,1.837219
0.0,5,1.842254
-0.327428,3,1.846259
-0.471663,4,1.850728
0.0,3,1.854488
-0.744725,5,1.859977
0.802476,5,1.865234
0.0,3,1.868891
-0.212805,5,1.874647
0.0,5,1.880658
0.0,2,1.882655
0.0,5,1.888474
0.0,4,1.892942
0.0,2,1.895363
-0.553554,4,1.899824
0.0,2,1.902072
0.0,5,1.908008
0.0,3,1.91156
-0.48288,4,1.915886
-0.868427,5,1.921958
0.0,2,1.924361
0.0,3,1.927855
0.0,3,1.931108
-1.0,3,1.934977
0.0,4,1.939683
0.0,3,1.943733
-0.031253,3,1.947096
0.24077,3,1.950636
0.0,3,1.955196
0.0,6,1.962497
0.0,2,1.964753
-1.0,3,1.967868
0.0,4,1.972356
0.0,3,1.975406
-1.0,3,1.97878
0.344991,2,1.980836
0.0,3,1.984571
0.0,3,1.988224
0.0,3,1.992343
0.152409,2,1.994758
0.0,3,1.998466
-0.921551,5,2.00407
0.0,3,2.007835
-0.001246,4,2.012194
-0.722696,2,2.014374
0.0,3,2.017787
0.0,5,2.025148
0.0,3,2.028739
0.600817,3,2.032487
0.0,2,2.034734
1.166974,2,2.036965
1.0,2,2.040049
0.0,3,2.04354
0.797611,3,2.047365
0.0,3,2.05079
0.0,3,2.05442
0.0,3,2.05788
0.713167,3,2.061851
-0.078529,4,2.066224
0.204217,3,2.070104
0.0,3,2.073694
0.0,3,2.077262
0.0,2,2.07972
0.0,6,2.085993
0.0,4,2.090967
-0.058433,4,2.095769
0.0,4,2.102156
1.5,2,2.105446
-0.19081,5,2.112528
0.0,4,2.118786
-0.25893,2,2.122363
0.0,3,2.127291
-0.259566,2,2.130547
0.0,2,2.133493
0.0,4,2.139155
-0.073329,5,2.145605
0.0,3,2.149837
-1.0,3,2.153169
0.715732,2,2.154978
1.0,3,2.157624
0.0,4,2.161099
0.0,2,2.162886
0.0,3,2.165924
0.0,3,2.168894
0.0,3,2.171891
0.055193,2,2.173978
0.0,3,2.176823
0.0,3,2.179472
-1.0,4,2.18285
0.145857,4,2.186223
0.0,2,2.187962
0.0,2,2.1898
-1.0,4,2.193242
0.0,4,2.19662
0.0,4,2.199941
-0.228416,4,2.203489
-0.514884,2,2.20567
0.0,3,2.208227
-0.165065,3,2.210776
-0.658913,4,2.214353
-0.34188,4,2.222648
-0.391566,2,2.224553
0.0,2,2.226311
0.0,2,2.228048
0.0,5,2.23367
0.0,3,2.23858
0.0,2,2.240927
0.0,4,2.244992
0.0,5,2.249387
-0.839095,4,2.253836
0.678642,2,2.255953
-0.357357,3,2.258896
-0.960225,3,2.262288
0.0,2,2.264206
-0.979857,3,2.267579
0.0,6,2.274604
0.0,3,2.277867
0.492305,4,2.282225
-0.788322,3,2.285141
-0.293389,4,2.289968
-0.634862,4,2.294132
0.0,3,2.297664
-1.0,5,2.30279
1.5,2,2.356382
0.0,3,2.360067
0.0,3,2.363215
-0.20716,3,2.36661
0.0,3,2.369751
-0.479221,3,2.373407
-1.0,4,2.377155
0.0,3,2.3803
0.0,5,2.385267
0.0,2,2.38787
0.662947,4,2.391896
0.0,3,2.395144
0.0,4,2.399391
0.0,3,2.402358
0.0,4,2.518734
0.934589,4,2.524343
0.0,3,2.528871
0.0,4,2.534475
-0.274038,2,2.536458
-0.736506,3,2.540067
0.0,4,2.544277
-0.671191,2,2.546562
-0.100236,4,2.550247
0.0,4,2.555793
-1.0,6,2.56332
0.0,2,2.565929
-0.572152,2,2.568752
-0.8588,3,2.572417
-1.0,3,2.576385
-1.0,4,2.581442
0.0,2,2.583776
0.0,4,2.588901
-1.0,4,2.594546
0.0,2,2.59686
-1.0,3,2.6003
0.0,3,2.603852
0.0,3,2.607877
-0.359686,3,2.612049
0.0,3,2.615869
-0.410027,4,2.620228
1.0,3,2.624302
0.0,3,2.627743
-0.221053,4,2.632377
-1.0,5,2.638756
-0.479528,3,2.642323
-0.454928,4,2.647037
0.0,5,2.652941
0.0,5,2.658935
0.0,3,2.661893
0.0,3,2.665978
0.0,3,2.669179
0.0,3,2.673534
0.0,4,2.679194
