#{"t_start": 1779728697.0647695, "env_id": "Blackjack4game-v1"}
r,l,t
0.0,4,4.760351
0.0,5,4.765962
0.0,4,4.770814
-1.0,4,4.778349
-0.617849,3,4.783743
0.0,3,4.788863
0.0,4,4.79491
-0.22755,3,4.79961
0.0,3,4.803095
-0.900125,4,4.806952
0.0,5,4.812111
0.0,3,4.815402
-0.871732,4,4.819958
0.0,4,4.824547
-0.944671,3,4.827586
0.0,4,4.831958
0.0,2,4.833818
0.0,3,4.837366
0.0,5,4.842306
-0.416843,2,4.844606
-0.120453,5,4.849442
0.0,4,4.853443
0.0,4,4.857482
0.0,6,4.863489
0.0,4,4.868053
0.0,3,4.871715
0.0,3,4.874815
0.0,5,4.880192
0.0,3,4.883129
0.0,2,4.885383
0.0,3,4.888575
0.0,2,4.890767
0.0,3,4.894301
0.0,2,4.896227
0.0,2,4.898949
0.0,2,4.901413
0.0,3,4.904626
0.0,4,4.909476
-0.979811,3,4.913106
0.0,3,4.916572
0.0,4,4.92116
0.0,3,4.924221
-1.0,3,4.92748
-1.0,5,4.932329
-0.379571,3,4.93556
0.0,3,4.938359
-0.677516,3,4.941625
-0.487717,3,4.944605
0.0,3,4.947734
0.0,2,4.949876
0.0,4,4.953781
0.0,3,4.957444
0.0,3,4.960835
0.0,4,4.965577
0.0,4,4.970183
0.0,2,4.972654
0.0,3,4.976489
0.0,2,4.978729
-1.0,3,4.982383
0.0,4,4.986887
0.0,3,4.990427
-0.541896,3,4.993457
-0.705857,4,4.997787
0.0,3,5.000675
0.0,4,5.005104
-0.286331,5,5.01008
-1.0,3,5.013333
-1.0,3,5.016415
-1.0,3,5.019703
0.0,2,5.021738
0.0,4,5.026436
-0.988066,3,5.029707
0.20396,3,5.033142
0.0,5,5.038903
-0.064793,4,5.042918
0.0,3,5.046451
0.0,3,5.049326
0.0,4,5.053854
1.0,2,5.055926
0.0,2,5.058145
0.755318,2,5.060803
1.0,5,5.067523
0.0,3,5.070928
0.0,4,5.075979
-1.0,4,5.080537
-0.621542,5,5.08634
0.0,4,5.090971
0.0,3,5.095309
0.0,3,5.098895
1.483211,2,5.101506
0.0,4,5.105744
0.0,3,5.109494
0.0,2,5.111675
-1.729558,2,5.114134
-1.0,3,5.117408
-1.0,2,5.119458
0.0,3,5.123212
0.0,2,5.125472
0.0,3,5.129203
0.0,4,5.133544
0.0,3,5.137316
-0.821703,3,5.140822
0.0,3,5.144917
1.051773,2,5.146928
0.0,3,5.150585
0.162817,3,5.153587
-0.153702,4,5.158257
0.0,3,5.161278
-1.0,2,5.163767
0.0,3,5.166721
0.56928,3,5.170117
-0.245249,4,5.174114
0.0,5,5.179307
1.5,2,5.181223
0.0,3,5.18529
-1.0,4,5.189244
-0.544218,3,5.192742
0.0,2,5.194803
0.0,3,5.198178
0.0,4,5.202157
0.0,4,5.206622
0.0,3,5.209575
0.0,3,5.21309
0.0,3,5.216122
0.0,2,5.218993
-1.0,4,5.223457
0.0,3,5.227441
-0.041061,2,5.229864
0.0,2,5.232614
0.0,3,5.236799
0.0,2,5.239291
-1.0,4,5.243615
0.0,4,5.247987
-0.366659,2,5.250062
-0.656689,2,5.251977
-0.144437,4,5.256668
0.0,3,5.260008
0.0,5,5.265708
0.0,4,5.270358
1.5,2,5.272425
0.0,3,5.275962
0.0,2,5.278352
0.0,4,5.28339
0.0,2,5.285409
-0.993956,4,5.289918
-0.14222,5,5.295339
0.0,3,5.298733
0.0,3,5.302287
0.0,3,5.305723
0.0,6,5.31207
0.0,3,5.315086
-1.0,3,5.318627
0.0,5,5.323781
-0.471453,3,5.327017
0.0,3,5.330248
0.0,3,5.333523
0.802895,3,5.336617
1.0,2,5.338953
